date,close,open,high,low,vol
2014-11-13,9550,9520,9610,9320,108916
2014-11-14,9250,9600,9600,9220,55103
2014-11-17,9240,9290,9390,9160,54332
2014-11-18,9370,9290,9420,9190,92222
2014-11-19,9390,9370,9400,9170,42182
2014-11-20,9210,9380,9380,9010,73389
2014-11-21,9330,9280,9400,9110,71484
2014-11-24,9500,9230,9570,9210,67197
2014-11-25,9380,9500,9560,9370,33398
2014-11-26,9320,9380,9410,9240,30525
2014-11-27,9290,9320,9340,9230,27469
2014-11-28,9290,9370,9370,9200,23049
2014-12-01,9290,9300,9300,9140,24202
2014-12-02,9240,9290,9320,9190,13440
2014-12-03,9180,9240,9240,9090,31116
2014-12-04,9190,9110,9190,9050,36179
2014-12-05,9180,9190,9220,9070,43806
2014-12-08,9120,9260,9260,8990,49916
2014-12-09,8980,9120,9120,8870,75361
2014-12-10,8940,9100,9100,8840,34882
2014-12-11,8900,8940,8940,8750,60582
2014-12-12,8940,8910,9020,8810,49848
2014-12-15,8960,8810,9070,8710,43945
2014-12-16,8980,8920,8990,8690,68756
2014-12-17,8850,8980,8990,8750,45460
2014-12-18,8850,8860,8900,8500,63034
2014-12-19,9000,8700,9060,8700,60218
2014-12-22,8970,8910,9090,8910,35030
2014-12-23,9120,8950,9150,8920,59243
2014-12-24,9370,9120,9440,9040,73718
2014-12-26,9490,9460,9580,9270,59549
2014-12-29,9480,9370,9500,9320,26066
2014-12-30,9380,9450,9470,9160,45489
2015-01-02,9320,9380,9420,9250,30720
2015-01-05,9450,9320,9570,9180,87184
2015-01-06,9320,9350,9530,9270,42885
2015-01-07,9630,9350,9680,9200,139386
2015-01-08,9980,9630,10250,9550,252156
2015-01-09,9930,10100,10200,9920,118292
2015-01-12,10050,9900,10300,9900,124250
2015-01-13,10000,10150,10500,10000,147631
2015-01-14,9870,10100,10350,9850,168655
2015-01-15,10000,9830,10100,9830,92273
2015-01-16,9900,10050,10050,9690,95649
2015-01-19,10200,9900,10350,9870,162068
2015-01-20,10300,10300,10600,10200,91603
2015-01-21,10450,10250,10650,10200,109149
2015-01-22,10250,10600,10600,10100,58227
2015-01-23,10250,10250,10550,10100,57279
2015-01-26,10250,10400,10400,10000,41208
2015-01-27,10200,10300,10350,10050,39883
2015-01-28,10250,10150,10400,10150,25503
2015-01-29,10550,10250,10600,10000,116779
2015-01-30,10150,10350,10450,9900,165304
2015-02-02,10000,10000,10050,9780,71298
2015-02-03,9950,10000,10050,9840,34242
2015-02-04,9880,9850,9950,9770,44191
2015-02-05,9750,9900,9920,9590,72948
2015-02-06,9900,9700,9900,9600,45566
2015-02-09,9770,9900,9930,9660,67007
2015-02-10,10000,9680,10050,9650,75587
2015-02-11,10000,9900,10100,9900,43251
2015-02-12,9970,10150,10150,9860,85692
2015-02-13,9720,9960,9960,9580,79728
2015-02-16,9770,9700,9800,9610,67545
2015-02-17,9770,9750,9870,9700,42084
2015-02-23,9770,9750,9810,9630,64561
2015-02-24,9950,9800,10000,9790,63536
2015-02-25,9930,9910,9990,9800,46812
2015-02-26,9830,9930,9980,9630,136879
2015-02-27,9900,9830,9980,9780,51595
2015-03-02,10250,9980,10250,9950,95730
2015-03-03,10100,10250,10250,10000,65876
2015-03-04,10100,10000,10200,10000,23940
2015-03-05,9980,10100,10200,9950,36954
2015-03-06,9950,9980,10000,9790,65321
2015-03-09,9910,9930,9950,9780,25140
2015-03-10,9610,9890,9890,9610,68027
2015-03-11,9550,9600,9700,9480,91872
2015-03-12,9500,9490,9610,9440,65546
2015-03-13,9520,9500,9540,9410,50659
2015-03-16,9400,9520,9520,9360,70311
2015-03-17,9410,9410,9500,9240,93948
2015-03-18,9420,9420,9480,9350,53592
2015-03-19,9580,9470,9650,9420,46871
2015-03-20,9530,9560,9620,9480,54074
2015-03-23,9790,9530,9790,9450,77772
